Project,Date,Observers,Transect_Length,Units,Plot,Unit,Species,Above_BH,Start_m,Stop_m,Length_m,Entry_date,Entered_by
Salter,20230920,CM,30,m,1,2,QUGA,0,0,1.35,1.35,20231011,CC
Salter,20230920,CM,30,m,1,2,QUGA,0,1.89,2.14,0.25,20231011,CC
Salter,20230920,CM,30,m,1,2,QUGA,0,13.89,14.24,0.35,20231011,CC
Salter,20230920,CM,30,m,1,2,QUGA,0,20.32,20.92,0.6,20231011,CC
Salter,20230920,CM,30,m,1,2,QUGA,0,21.86,22.27,0.41,20231011,CC
Salter,20230920,CM,30,m,1,2,QUGA,0,22.91,23.07,0.16,20231011,CC
Salter,20230920,CM,30,m,1,2,QUGA,0,25.19,25.3,0.11,20231011,CC
Salter,20230920,CM,30,m,1,2,QUGA,0,26.7,26.72,0.02,20231011,CC
Salter,20230920,CM,30,m,1,2,QUGA,0,27.48,28.6,1.12,20231011,CC
Salter,20230921,NS,30,m,2,2,QUGA,0,5.4,9.1,3.7,20231011,CC
Salter,20230921,NS,30,m,2,2,QUGA,0,12.68,12.8,0.12,20231011,CC
Salter,20230921,NS,30,m,2,2,QUGA,0,13.23,13.84,0.61,20231011,CC
Salter,20230921,NS,30,m,2,2,QUGA,0,16.72,17.54,0.82,20231011,CC
Salter,20230921,NS,30,m,2,2,QUGA,0,20.28,21.69,1.41,20231011,CC
Salter,20230921,NS,30,m,2,2,QUGA,0,29.66,30,0.34,20231011,CC
Salter,20230921,CM,30,m,3,2,QUGA,0,2.67,3.17,0.5,20231011,CC
Salter,20230921,CM,30,m,3,2,QUGA,0,22.65,23.69,1.04,20231011,CC
Salter,20230921,CM,30,m,3,2,QUGA,0,26.79,29.29,2.5,20231011,CC
Salter,20230921,NS,30,m,4,2,QUGA,0,0.5,4.16,3.66,20231011,CC
Salter,20230921,NS,30,m,4,2,QUGA,0,29.65,30,0.35,20231011,CC
Salter,20230920,NS,30,m,5,7,QUGA,0,10.19,10.82,0.63,20231010,CC
Salter,20230920,NS,30,m,5,7,ROWO,0,25.55,25.65,0.1,20231010,CC
Salter,20230920,NS,30,m,5,7,ROWO,0,29.38,29.49,0.11,20231010,CC
Salter,20230920,NS,30,m,6,7,QUGA,0,0,2.66,2.66,20231010,CC
Salter,20230920,NS,30,m,6,7,QUGA,0,9.34,10.81,1.47,20231010,CC
Salter,20230920,NS,30,m,6,7,QUGA,0,21.98,24.52,2.54,20231010,CC
Salter,20230920,NS,30,m,6,7,QUGA,1,25.49,27.28,1.79,20231010,CC
Salter,20230920,NS,30,m,6,7,QUGA,1,28.6,30,1.4,20231010,CC
Salter,20230920,CC,30,m,7,7,QUGA,0,0,2.81,2.81,20231010,CC
Salter,20230920,CC,30,m,7,7,ROWO,0,4.81,4.92,0.11,20231010,CC
Salter,20230920,CM,30,m,8,7,QUGA,0,1.12,1.98,0.86,20231010,CC
Salter,20230920,CM,30,m,8,7,QUGA,0,2.51,2.91,0.4,20231010,CC
Salter,20230920,CM,30,m,8,7,QUGA,0,3.26,3.73,0.47,20231010,CC
Salter,20230920,CM,30,m,8,7,QUGA,0,9.93,10,0.07,20231010,CC
Salter,20230920,CM,30,m,8,7,QUGA,0,16.67,16.95,0.28,20231010,CC
Salter,20230920,CM,30,m,8,7,QUGA,0,19.77,19.94,0.17,20231010,CC
Salter,20230920,CM,30,m,8,7,QUGA,0,21.47,22.26,0.79,20231010,CC
Salter,20230920,CM,30,m,8,7,QUGA,0,24.47,24.88,0.41,20231010,CC
Salter,20230920,CM,30,m,8,7,QUGA,0,29.09,30,0.91,20231010,CC
Salter,20230920,CC,30,m,9,6,QUGA,0,0.5,1.25,0.75,20231010,CC
Salter,20230920,CC,30,m,9,6,QUGA,0,4.49,5.21,0.72,20231010,CC
Salter,20230920,CC,30,m,9,6,QUGA,0,7.16,8.13,0.97,20231010,CC
Salter,20230920,CM,30,m,10,6,ROWO,0,7.1,7.25,0.15,20231010,CC
Salter,20230920,CM,30,m,10,6,ROWO,0,8.41,8.69,0.28,20231010,CC
Salter,20230920,CM,30,m,10,6,ROWO,0,12.84,12.91,0.07,20231010,CC
Salter,20230920,CM,30,m,10,6,ROWO,0,13.39,13.64,0.25,20231010,CC
Salter,20230920,CM,30,m,10,6,ROWO,0,16.59,17.89,1.3,20231010,CC
Salter,20230920,CM,30,m,10,6,ROWO,0,25.18,26.75,1.57,20231010,CC
Salter,20230920,CM,30,m,10,6,ROWO,0,27.28,28.72,1.44,20231010,CC
Salter,20230920,CM,30,m,10,6,AMAL2,0,28.76,29.8,1.04,20231010,CC
Salter,20230918,NS,30,m,11,6,QUGA,0,18.25,19.1,0.85,20231010,CC
Salter,20230918,NS,30,m,11,6,QUGA,0,20.49,20.66,0.17,20231010,CC
Salter,20230918,NS,30,m,11,6,QUGA,1,21.19,22,0.81,20231010,CC
Salter,20230918,NS,30,m,11,6,QUGA,0,22.42,27.81,5.39,20231010,CC
Salter,20230919,CC,30,m,12,6,QUGA,0,0,0.99,0.99,20231010,CC
Salter,20230919,CC,30,m,12,6,QUGA,0,1.52,4.67,3.15,20231010,CC
Salter,20230919,CC,30,m,12,6,QUGA,1,3.5,4.1,0.6,20231010,CC
Salter,20230919,CC,30,m,12,6,QUGA,0,7.72,11.51,3.79,20231010,CC
Salter,20230919,CC,30,m,12,6,QUGA,0,20.24,20.6,0.36,20231010,CC
Salter,20230919,CC,30,m,12,6,QUGA,0,23.43,27.34,3.91,20231010,CC
Salter,20230921,CC,30,m,13,1,QUGA,0,0,0.31,0.31,20231010,CC
Salter,20230921,CC,30,m,13,1,QUGA,1,0.61,1.05,0.44,20231010,CC
Salter,20230921,CC,30,m,13,1,QUGA,0,0.73,3.47,2.74,20231010,CC
Salter,20230921,CC,30,m,13,1,QUGA,0,5.8,10.34,4.54,20231010,CC
Salter,20230921,CC,30,m,13,1,QUGA,1,7.69,8.41,0.72,20231010,CC
Salter,20230921,CC,30,m,13,1,QUGA,0,20.72,22.31,1.59,20231010,CC
Salter,20231003,CP,30,m,14,1,QUGA,1,0.4,8.35,7.95,20231006,NS
Salter,20231003,CP,30,m,14,1,QUGA,1,8.2,11.4,3.2,20231006,NS
Salter,20231003,CP,30,m,14,1,ROWO,0,17.47,17.85,0.38,20231006,NS
Salter,20231003,CP,30,m,14,1,QUGA,1,20.72,24.5,3.78,20231006,NS
Salter,20231003,CC,30,m,15,1,QUGA,0,0.77,3.49,2.72,20231006,NS
Salter,20231003,CC,30,m,15,1,QUGA,0,4.91,8.47,3.56,20231006,NS
Salter,20231003,CC,30,m,15,1,ROWO,0,6.72,6.78,0.06,20231006,NS
Salter,20231003,CC,30,m,15,1,QUGA,0,8.99,9.95,0.96,20231006,NS
Salter,20231003,CC,30,m,15,1,ROWO,0,9.93,10.13,0.2,20231006,NS
Salter,20231003,CC,30,m,15,1,ROWO,0,10.97,11,0.03,20231006,NS
Salter,20231003,CC,30,m,15,1,ROWO,0,11.61,11.74,0.13,20231006,NS
Salter,20231003,CC,30,m,15,1,ROWO,0,15.02,15.1,0.08,20231006,NS
Salter,20231003,CC,30,m,15,1,QUGA,0,17.5,18.68,1.18,20231006,NS
Salter,20231003,CC,30,m,15,1,QUGA,1,23.9,30,6.1,20231006,NS
Salter,20231003,NS,30,m,16,3,QUGA,0,0.48,2.05,1.57,20231012,CC
Salter,20231003,NS,30,m,16,3,QUGA,0,2.42,2.95,0.53,20231012,CC
Salter,20231003,NS,30,m,16,3,QUGA,0,3.8,5.29,1.49,20231012,CC
Salter,20231003,NS,30,m,16,3,QUGA,0,6.2,9.81,3.61,20231012,CC
Salter,20231003,NS,30,m,16,3,QUGA,0,29.71,30,0.29,20231012,CC
Salter,20231003,CP,30,m,17,3,QUGA,0,18.5,20,1.5,20231012,CC
Salter,20231003,CP,30,m,17,3,QUGA,1,19.52,20.71,1.19,20231012,CC
Salter,20231003,CP,30,m,17,3,QUGA,0,20.5,23.12,2.62,20231012,CC
Salter,20231003,CP,30,m,17,3,QUGA,0,26.13,26.64,0.51,20231012,CC
Salter,20231003,CP,30,m,17,3,QUGA,0,27.32,28.36,1.04,20231012,CC
Salter,20231003,CP,30,m,17,3,QUGA,0,28.8,29.5,0.7,20231012,CC
Salter,20231003,CC,30,m,18,3,QUGA,0,0,1.84,1.84,20231012,CC
Salter,20231003,CC,30,m,18,3,QUGA,0,2.41,6.53,4.12,20231012,CC
Salter,20231003,CC,30,m,18,3,QUGA,1,5.12,5.61,0.49,20231012,CC
Salter,20231003,CC,30,m,18,3,QUGA,0,21.69,24.81,3.12,20231012,CC
Salter,20231003,CC,30,m,18,3,QUGA,0,28.3,30,1.7,20231012,CC
Salter,20231003,CC,30,m,18,3,QUGA,1,28.8,30,1.2,20231012,CC
Salter,20230919,CC,30,m,19,5,QUGA,0,0,1.02,1.02,20231009,CC
Salter,20230919,CC,30,m,19,5,QUGA,1,0.38,0.49,0.11,20231009,CC
Salter,20230919,CC,30,m,19,5,QUGA,0,3.4,5.41,2.01,20231009,CC
Salter,20230919,CC,30,m,19,5,QUGA,0,7.42,8,0.58,20231009,CC
Salter,20230919,CC,30,m,19,5,QUGA,0,29.17,30,0.83,20231009,CC
Salter,20230919,CM,30,m,20,5,QUGA,0,11.31,11.56,0.25,20231009,CC
Salter,20230919,CM,30,m,20,5,QUGA,0,28.41,30,1.59,20231009,CC
Salter,20230919,NS,30,m,21,5,QUGA,0,20.02,20.62,0.6,20230930,CC
Salter,20230919,NS,30,m,21,5,QUGA,0,21.54,22.66,1.12,20230930,CC
Salter,20230919,NS,30,m,22,4,QUGA,0,4.51,5.23,0.72,20230927,CC
Salter,20230919,NS,30,m,22,4,QUGA,0,6.9,8.85,1.95,20230927,CC
Salter,20230919,NS,30,m,22,4,QUGA,0,11.19,12.42,1.23,20230927,CC
Salter,20230919,CC,30,m,23,4,QUGA,1,8.8,9.8,1,20230927,CC
Salter,20230919,CC,30,m,23,4,QUGA,0,8.91,9.72,0.81,20230927,CC
Salter,20230919,CC,30,m,23,4,QUGA,0,12.53,12.91,0.38,20230927,CC
Salter,20230919,CC,30,m,23,4,QUGA,0,16.77,17.01,0.24,20230927,CC
Salter,20230919,CC,30,m,23,4,QUGA,0,17.48,17.92,0.44,20230927,CC
Salter,20230919,CC,30,m,23,4,QUGA,0,18.16,18.53,0.37,20230927,CC
Salter,20230919,CC,30,m,23,4,QUGA,0,24.28,24.78,0.5,20230927,CC
Salter,20230919,CC,30,m,23,4,QUGA,0,25.51,26.23,0.72,20230927,CC
Salter,20230919,CC,30,m,23,4,QUGA,0,26.6,30,3.4,20230927,CC
Salter,20230919,CC,30,m,23,4,QUGA,1,26.82,29.65,2.83,20230927,CC
Salter,20230919,CM,30,m,24,4,QUGA,1,3.12,7.44,4.32,20230927,CC
Salter,20230913,NS,30,m,25,8,QUGA,0,0,3.22,3.22,20230926,CC
Salter,20230913,NS,30,m,25,8,QUGA,0,3.68,3.86,0.18,20230926,CC
Salter,20230913,NS,30,m,26,8,SYRO,0,11.05,17.12,6.07,20230926,CC
Salter,20230913,NS,30,m,26,8,QUGA,0,18.6,19.3,0.7,20230926,CC
Salter,20230913,NS,30,m,26,8,QUGA,0,19.4,19.65,0.25,20230926,CC
Salter,20230913,NS,30,m,26,8,QUGA,0,21.05,21.23,0.18,20230926,CC
Salter,20230913,NS,30,m,26,8,QUGA,0,21.4,21.66,0.26,20230926,CC
Salter,20230913,NS,30,m,26,8,QUGA,0,21.95,23.2,1.25,20230926,CC
Salter,20230913,NS,30,m,26,8,QUGA,0,28.05,28.9,0.85,20230926,CC
Salter,20230913,CC,30,m,27,8,QUGA,0,3.01,3.2,0.19,20230926,CC
Salter,20230913,CC,30,m,27,8,QUGA,0,12.25,13.13,0.88,20230926,CC
Salter,20230913,CC,30,m,27,8,QUGA,0,13.51,14.07,0.56,20230926,CC
Salter,20230913,CC,30,m,27,8,QUGA,0,17.52,18.04,0.52,20230926,CC
Salter,20230913,CC,30,m,27,8,QUGA,0,18.48,18.75,0.27,20230926,CC
Salter,20230913,CC,30,m,27,8,QUGA,0,19.12,19.4,0.28,20230926,CC
Salter,20230913,CC,30,m,27,8,QUGA,0,24.55,25.7,1.15,20230926,CC
Salter,20230913,CC,30,m,27,8,QUGA,0,27.5,27.71,0.21,20230926,CC
Salter,20230913,CC,30,m,27,8,QUGA,0,28.09,28.45,0.36,20230926,CC
Salter,20230913,CC,30,m,28,9,QUGA,0,2.77,3.51,0.74,20230926,CC
Salter,20230913,CC,30,m,28,9,QUGA,0,3.62,4.44,0.82,20230926,CC
Salter,20230913,CC,30,m,28,9,QUGA,0,5.44,5.99,0.55,20230926,CC
Salter,20230913,CC,30,m,28,9,QUGA,0,7.58,8.01,0.43,20230926,CC
Salter,20230913,CC,30,m,28,9,QUGA,0,8.07,8.76,0.69,20230926,CC
Salter,20230913,CC,30,m,28,9,QUGA,0,16.85,17.24,0.39,20230926,CC
Salter,20230913,CC,30,m,28,9,QUGA,0,17.84,18.12,0.28,20230926,CC
Salter,20230913,CC,30,m,28,9,QUGA,0,18.5,19.01,0.51,20230926,CC
Salter,20230913,CC,30,m,28,9,QUGA,0,19.41,20.38,0.97,20230926,CC
Salter,20230913,CC,30,m,28,9,AMAL2,0,19.9,20.13,0.23,20230926,CC
Salter,20230913,CC,30,m,28,9,AMAL2,0,20.71,21.71,1,20230926,CC
Salter,20230913,CC,30,m,28,9,QUGA,0,21.92,26.01,4.09,20230926,CC
Salter,20230913,CC,30,m,28,9,AMAL2,0,25.1,25.3,0.2,20230926,CC
Salter,20230913,CC,30,m,28,9,AMAL2,0,28.59,28.72,0.13,20230926,CC
Salter,20230914,CM,30,m,29,9,QUGA,0,4.32,5.07,0.75,20230925,CC
Salter,20230914,CM,30,m,29,9,QUGA,0,5.27,6.89,1.62,20230925,CC
Salter,20230914,CM,30,m,29,9,QUGA,0,7.13,7.43,0.3,20230925,CC
Salter,20230914,CM,30,m,29,9,QUGA,0,7.88,8.89,1.01,20230925,CC
Salter,20230914,CM,30,m,29,9,QUGA,0,10.82,11.08,0.26,20230925,CC
Salter,20230914,CM,30,m,29,9,QUGA,0,13.03,13.5,0.47,20230925,CC
Salter,20230914,CM,30,m,29,9,QUGA,0,13.76,14.28,0.52,20230925,CC
Salter,20230914,CM,30,m,29,9,QUGA,0,16.35,17.24,0.89,20230925,CC
Salter,20230914,CM,30,m,29,9,QUGA,0,19.64,19.85,0.21,20230925,CC
Salter,20230914,CM,30,m,29,9,QUGA,0,21.56,21.74,0.18,20230925,CC
Salter,20230914,CM,30,m,29,9,QUGA,0,22.68,23.33,0.65,20230925,CC
Salter,20230914,CM,30,m,29,9,QUGA,0,23.88,24.25,0.37,20230925,CC
Salter,20230914,CM,30,m,29,9,QUGA,0,25.06,26.34,1.28,20230925,CC
Salter,20230914,CM,30,m,29,9,QUGA,0,27.3,28.09,0.79,20230925,CC
Salter,20230914,CM,30,m,29,9,QUGA,0,28.92,30,1.08,20230925,CC
Salter,20230918,NS,30,m,30,9,QUGA,0,0,1.79,1.79,20230927,CC
Salter,20230918,NS,30,m,30,9,QUGA,0,2.31,2.44,0.13,20230927,CC
Salter,20230918,NS,30,m,30,9,QUGA,0,4.41,5.25,0.84,20230927,CC
Salter,20230918,NS,30,m,30,9,QUGA,0,8.37,8.62,0.25,20230927,CC
Salter,20230918,NS,30,m,30,9,QUGA,0,10,11.98,1.98,20230927,CC
Salter,20230918,NS,30,m,30,9,ROWO,0,13.4,13.69,0.29,20230927,CC
Salter,20230918,NS,30,m,30,9,ROWO,0,13.92,14.09,0.17,20230927,CC
Salter,20230918,NS,30,m,30,9,QUGA,0,16.12,16.25,0.13,20230927,CC
Salter,20230918,NS,30,m,30,9,QUGA,0,16.79,20.17,3.38,20230927,CC
Salter,20230918,NS,30,m,30,9,QUGA,0,20.58,21.02,0.44,20230927,CC
Salter,20230918,NS,30,m,30,9,QUGA,0,21.6,22.33,0.73,20230927,CC
Salter,20230918,NS,30,m,30,9,QUGA,0,23.1,24.54,1.44,20230927,CC
Salter,20230918,CC,30,m,31,9,QUGA,0,0.64,4.83,4.19,20230927,CC
Salter,20230918,CC,30,m,31,9,QUGA,0,10.53,13.85,3.32,20230927,CC
Salter,20230914,CC,30,m,32,9,QUGA,0,21.07,22.01,0.94,20230925,CC
Salter,20230914,CC,30,m,32,9,QUGA,0,23.2,23.3,0.1,20230925,CC
Salter,20230914,CC,30,m,32,9,QUGA,0,26.61,26.65,0.04,20230925,CC
Salter,20230914,CC,30,m,32,9,QUGA,0,28.18,30,1.82,20230925,CC
Salter,20230918,CM,30,m,33,9,QUGA,0,11.99,12.15,0.16,20230927,CC
Salter,20230918,CM,30,m,33,9,QUGA,0,12.49,13.52,1.03,20230927,CC
Salter,20230918,CM,30,m,33,9,QUGA,0,17.62,17.81,0.19,20230927,CC
Salter,20230918,CM,30,m,33,9,QUGA,0,20.89,21.89,1,20230927,CC
Salter,20230918,CM,30,m,33,9,QUGA,0,22.35,23.25,0.9,20230927,CC
Salter,20230918,CM,30,m,33,9,QUGA,0,23.35,28.81,5.46,20230927,CC
Salter,20230914,CC,30,m,34,9,QUGA,0,0,0.5,0.5,20230925,CC
Salter,20230914,CC,30,m,34,9,QUGA,0,1.54,1.73,0.19,20230925,CC
Salter,20230914,CC,30,m,34,9,QUGA,0,2.21,2.57,0.36,20230925,CC
Salter,20230914,CC,30,m,34,9,QUGA,0,2.78,3.04,0.26,20230925,CC
Salter,20230914,CC,30,m,34,9,QUGA,0,3.64,3.93,0.29,20230925,CC
Salter,20230914,CC,30,m,34,9,QUGA,0,4.03,4.9,0.87,20230925,CC
Salter,20230914,CC,30,m,34,9,QUGA,0,5.35,6.59,1.24,20230925,CC
Salter,20230914,CC,30,m,34,9,AMAL2,0,8.75,9.03,0.28,20230925,CC
Salter,20230914,CC,30,m,34,9,QUGA,0,18.55,20.08,1.53,20230925,CC
Salter,20230914,CC,30,m,34,9,QUGA,0,23.31,23.63,0.32,20230925,CC
Salter,20230914,CC,30,m,34,9,QUGA,0,24.25,24.37,0.12,20230925,CC
Salter,20230914,CC,30,m,34,9,QUGA,0,27.93,28.05,0.12,20230925,CC
Salter,20231004,NS,30,m,35,10,QUGA,0,22.25,22.74,0.49,20231014,CC
Salter,20231004,NS,30,m,35,10,QUGA,0,23.2,23.44,0.24,20231014,CC
Salter,20231004,NS,30,m,35,10,QUGA,0,23.95,27.66,3.71,20231014,CC
Salter,20231004,NS,30,m,35,10,QUGA,0,28.02,28.56,0.54,20231014,CC
Salter,20231005,CC,30,m,37,10,QUGA,0,19.57,20.25,0.68,20231014,CC
Salter,20231005,CC,30,m,37,10,QUGA,0,21.17,22.54,1.37,20231014,CC
Salter,20231005,CC,30,m,37,10,QUGA,0,22.81,23.96,1.15,20231014,CC
Salter,20231005,CC,30,m,37,10,QUGA,0,25.16,26.55,1.39,20231014,CC
Salter,20231005,CP,30,m,38,10,QUGA,0,3.5,5.1,1.6,20231014,CC
Salter,20231005,CP,30,m,38,10,QUGA,0,27.78,28.15,0.37,20231014,CC
Salter,20231004,NS,30,m,42,PFA,ROWO,0,28.14,28.38,0.24,20231012,CC
Salter,20231004,CC,30,m,43,PFA,QUGA,0,6.19,6.67,0.48,20231013,CC
Salter,20231004,CC,30,m,43,PFA,QUGA,0,20.91,22.53,1.62,20231013,CC
Salter,20231004,CC,30,m,43,PFA,QUGA,0,27.64,28.01,0.37,20231013,CC
Salter,20231004,CP,30,m,44,PFA,QUGA,0,0.25,0.85,0.6,20231013,CC
Salter,20231004,CP,30,m,44,PFA,QUGA,0,1.84,2.76,0.92,20231013,CC
Salter,20231004,CP,30,m,44,PFA,QUGA,0,17.61,18.17,0.56,20231013,CC
Salter,20231004,CP,30,m,44,PFA,QUGA,0,20.2,25.52,5.32,20231013,CC
Salter,20231004,CP,30,m,44,PFA,QUGA,0,26.4,27.1,0.7,20231013,CC
Salter,20231004,CP,30,m,44,PFA,QUGA,0,29,30,1,20231013,CC
Salter,20231004,NS,30,m,45,PFA,QUGA,0,22.27,22.44,0.17,20231013,CC
Salter,20231004,NS,30,m,45,PFA,QUGA,0,24.82,26.95,2.13,20231013,CC
Salter,20231004,NS,30,m,45,PFA,QUGA,0,28.45,28.74,0.29,20231013,CC
Salter,20231004,NS,30,m,45,PFA,QUGA,0,29.24,30,0.76,20231013,CC
Salter,20231004,CP,30,m,46,PFA,QUGA,1,1.2,3,1.8,20231013,CC
Salter,20231004,CP,30,m,46,PFA,QUGA,0,8.45,10.2,1.75,20231013,CC
Salter,20231004,CP,30,m,46,PFA,QUGA,1,10.2,12.1,1.9,20231013,CC
Salter,20231004,CP,30,m,46,PFA,QUGA,0,12.9,13.8,0.9,20231013,CC
Salter,20231004,CP,30,m,46,PFA,QUGA,0,15.4,16.3,0.9,20231013,CC
Salter,20231004,CP,30,m,46,PFA,QUGA,0,15.9,17.6,1.7,20231013,CC
Salter,20231004,CP,30,m,46,PFA,QUGA,1,17.6,20,2.4,20231013,CC
Salter,20231004,CP,30,m,46,PFA,QUGA,0,23.6,23.74,0.14,20231013,CC
Salter,20231004,NS,30,m,47,PFA,QUGA,0,17.4,17.52,0.12,20231014,CC
Salter,20231004,NS,30,m,47,PFA,QUGA,0,17.8,19.05,1.25,20231014,CC
Salter,20231005,NS,30,m,51,PFA,QUGA,0,1.02,2.03,1.01,20231014,CC
Salter,20231005,NS,30,m,51,PFA,QUGA,0,2.61,2.81,0.2,20231014,CC
Salter,20231005,NS,30,m,51,PFA,QUGA,0,3.36,4.06,0.7,20231014,CC
Salter,20231005,NS,30,m,51,PFA,QUGA,0,5.75,7.02,1.27,20231014,CC
Salter,20231005,NS,30,m,51,PFA,QUGA,0,7.71,10.1,2.39,20231014,CC
Salter,20231005,NS,30,m,51,PFA,QUGA,0,10.29,12.8,2.51,20231014,CC
Salter,20231005,NS,30,m,51,PFA,QUGA,0,16.09,17.06,0.97,20231014,CC
Salter,20231005,NS,30,m,51,PFA,QUGA,0,26.69,28.5,1.81,20231014,CC
Salter,20231004,CP,30,m,52,PFA,QUGA,0,1.6,2.1,0.5,20231014,CC
Salter,20231004,CP,30,m,52,PFA,QUGA,0,2.86,3.82,0.96,20231014,CC
Salter,20231004,CP,30,m,52,PFA,QUGA,1,3.8,3.92,0.12,20231014,CC
Salter,20231004,CP,30,m,52,PFA,QUGA,0,4.55,5.15,0.6,20231014,CC
Salter,20231004,CP,30,m,52,PFA,QUGA,0,6.53,7.42,0.89,20231014,CC
Salter,20231004,CP,30,m,52,PFA,QUGA,0,17.26,18.57,1.31,20231014,CC
Salter,20231004,CP,30,m,52,PFA,QUGA,0,18.95,19.74,0.79,20231014,CC
Salter,20231004,CP,30,m,52,PFA,QUGA,0,20.21,21,0.79,20231014,CC
Salter,20231004,CP,30,m,52,PFA,QUGA,0,21.59,21.9,0.31,20231014,CC
Salter,20231004,CP,30,m,52,PFA,QUGA,0,25.76,27.68,1.92,20231014,CC
Salter,20231004,CP,30,m,52,PFA,QUGA,0,28.96,30,1.04,20231014,CC
Salter,20231005,CC,30,m,53,PFA,QUGA,0,8.5,8.92,0.42,20231016,CC
Salter,20231005,CC,30,m,53,PFA,QUGA,0,10.92,13.34,2.42,20231016,CC