Project ,Date,Plot,Unit,Observers,Plot_area,Units_dist,Units_dbh,Tree_id,Species,Azimuth,Distance,DBH,Height,CBH,Decay_Class,Char_Height,Scorch_Height,Beetle,Cone,Shrub,Notes,Entry_date,Entered_by,BA,BAF
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P1,PIPO,15,31,4.6,8.9,NA,D3,5.7,NA,G,N,NA,,20231011,CC,0.11540664,1.1540664
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P2,PIPO,59,26.5,15.4,61.3,46,L,3,NA,G,M,0,cored @ DBH,20231011,CC,1.29347064,12.9347064
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P3,PIPO,80,33.5,14.7,57.5,24.5,L,3.7,NA,G,S,0,,20231011,CC,1.17855486,11.7855486
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,878,PIPO,85,10.5,15,59,17.8,L,1,NA,G,D,0,,20231011,CC,1.22715,12.2715
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P5,PIPO,198,27.5,14.2,41.9,NA,D2,41.9,NA,D,N,NA,,20231011,CC,1.09974456,10.9974456
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P6,PIPO,201,29,12.8,52.6,26.5,L,25,NA,GPT,S,0,,20231011,CC,0.89358336,8.9358336
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P7,PIPO,212,28,7.6,43.8,NA,D2,33.8,NA,D,N,NA,,20231011,CC,0.31502304,3.1502304
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P8,PIPO,223,33,14.3,59.6,35.1,L,16,NA,G,M,0,,20231011,CC,1.11528846,11.1528846
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P9,PIPO,271,28.5,13.9,59.5,27.8,L,7.3,NA,G,D,0,,20231011,CC,1.05376734,10.5376734
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P10,PIPO,278,15.5,13.3,57,24.4,L,4.5,NA,G,M,0,,20231011,CC,0.96475806,9.6475806
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P11,PIPO,343,17,12.3,47.6,21.6,L,22,NA,G,N,0,,20231011,CC,0.82513566,8.2513566
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P12,PIPO,345,35,10.1,51.4,19.3,L,7.3,NA,G,M,0,,20231011,CC,0.55636254,5.5636254
Salter,20230920,1,2,"CC, NS, CM",0.1,ft,in,P13,PIPO,351,32.5,15.9,59.9,25,L,13.7,NA,G,D,0,,20231011,CC,1.37882574,13.7882574
Salter,20230921,2,2,"CC, NS, CM",0.1,ft,in,130,PIPO,3,37,4.8,20.2,7.4,L,1,NA,G,N,0,,20231011,CC,0.12566016,1.2566016
Salter,20230921,2,2,"CC, NS, CM",0.1,ft,in,P2,PIPO,94,36.5,18.2,71.7,35.9,L,2,NA,G,D,0,,20231011,CC,1.80658296,18.0658296
Salter,20230921,2,2,"CC, NS, CM",0.1,ft,in,P3,PIPO,120,32,5.3,5.9,5.2,L,NA,NA,G,N,1,leaning,20231011,CC,0.15320286,1.5320286
Salter,20230921,2,2,"CC, NS, CM",0.1,ft,in,P4,PIPO,120,16,11.3,58,30.4,L,2,NA,G,M,0,,20231011,CC,0.69642126,6.9642126
Salter,20230921,2,2,"CC, NS, CM",0.1,ft,in,P5,PIPO,142,24,18,69.9,38.6,L,4.5,NA,G,D,1,,20231011,CC,1.767096,17.67096
Salter,20230921,2,2,"CC, NS, CM",0.1,ft,in,P6,PIPO,176,35.5,16.2,68.4,35.1,L,4,NA,G,D,1,,20231011,CC,1.43134776,14.3134776
Salter,20230921,2,2,"CC, NS, CM",0.1,ft,in,P7,PIPO,176,8.5,11.5,52.3,20.3,L,1,NA,G,M,0,,20231011,CC,0.7212915,7.212915
Salter,20230921,2,2,"CC, NS, CM",0.1,ft,in,P8,PIPO,211,17,9.6,46.8,27.4,L,2,NA,G,S,1,,20231011,CC,0.50264064,5.0264064
Salter,20230921,2,2,"CC, NS, CM",0.1,ft,in,P9,PIPO,224,24.5,13.8,62.5,13.2,L,2.3,NA,G,D,1,,20231011,CC,1.03865976,10.3865976
Salter,20230921,2,2,"CC, NS, CM",0.1,ft,in,P10,PIPO,264,36.5,9.6,39,16.4,L,1.6,NA,G,N,0,,20231011,CC,0.50264064,5.0264064
Salter,20230921,2,2,"CC, NS, CM",0.1,ft,in,P11,PIPO,286,28.5,19.4,62.4,24.2,L,4.3,NA,G,D,0,,20231011,CC,2.05266744,20.5266744
Salter,20230921,3,2,"CC, NS, CM",0.1,ft,in,P1,PIPO,24,23,19,90.5,24.5,L,1,NA,G,D,0,,20231011,CC,1.968894,19.68894
Salter,20230921,3,2,"CC, NS, CM",0.1,ft,in,951,PIPO,47,31,8.7,45.5,11.3,L,1.5,NA,G,N,0,,20231011,CC,0.41281326,4.1281326
Salter,20230921,3,2,"CC, NS, CM",0.1,ft,in,P3,PIPO,85,31.5,17,63.6,20.1,L,6,NA,G,M,0,,20231011,CC,1.576206,15.76206
Salter,20230921,3,2,"CC, NS, CM",0.1,ft,in,P4,PIPO,138,35,20.4,76.3,34.4,L,1.5,NA,G,M,0,,20231011,CC,2.26973664,22.6973664
Salter,20230921,3,2,"CC, NS, CM",0.1,ft,in,P5,PIPO,164,26.5,15.1,57.6,32.7,L,2.7,NA,G,S,0,,20231011,CC,1.24356654,12.4356654
Salter,20230921,3,2,"CC, NS, CM",0.1,ft,in,P6,PIPO,188,21,14.6,61.7,30.6,L,2,NA,G,D,0,,20231011,CC,1.16257464,11.6257464
Salter,20230921,3,2,"CC, NS, CM",0.1,ft,in,P7,PIPO,270,25,14.6,59.2,18.5,L,1.8,NA,G,M,0,,20231011,CC,1.16257464,11.6257464
Salter,20230921,3,2,"CC, NS, CM",0.1,ft,in,P8,PIPO,277,17.5,7.9,38,6.9,L,0.5,NA,G,N,0,,20231011,CC,0.34038414,3.4038414
Salter,20230921,3,2,"CC, NS, CM",0.1,ft,in,P9,PIPO,300,22.5,13.8,74.4,42.7,L,0.7,NA,G,D,0,,20231011,CC,1.03865976,10.3865976
Salter,20230921,3,2,"CC, NS, CM",0.1,ft,in,P10,PIPO,313,12,20,87.3,42.3,L,2.5,NA,G,M,0,,20231011,CC,2.1816,21.816
Salter,20230921,3,2,"CC, NS, CM",0.1,ft,in,P11,PIPO,319,28,17.9,73.2,37.4,L,0.5,NA,G,M,0,,20231011,CC,1.74751614,17.4751614
Salter,20230921,4,2,"CC, NS, CM",0.1,ft,in,P1,PIPO,6,33,5.6,27.6,NA,D1,5.9,NA,G,NA,NA,,20231011,CC,0.17103744,1.7103744
Salter,20230921,4,2,"CC, NS, CM",0.1,ft,in,P2,PIPO,15,31.5,22.2,77.3,42.3,L,8.2,NA,G,D,1,cored @ DBH,20231011,CC,2.68794936,26.8794936
Salter,20230921,4,2,"CC, NS, CM",0.1,ft,in,P3,PIPO,21,30,11,37.1,17,L,6.5,NA,G,N,0,,20231011,CC,0.659934,6.59934
Salter,20230921,4,2,"CC, NS, CM",0.1,ft,in,950,PIPO,68,11.5,20.2,74.1,30.6,L,4.3,NA,G,M,0,,20231011,CC,2.22545016,22.2545016
Salter,20230921,4,2,"CC, NS, CM",0.1,ft,in,P5,PIPO,120,22,16.8,68.3,19.1,L,1,NA,G,D,0,cored @ DBH,20231011,CC,1.53933696,15.3933696
Salter,20230921,4,2,"CC, NS, CM",0.1,ft,in,Q1,QUGA,228,30.5,5.4,13.7,4.3,L,NA,NA,NA,NA,1,,20231011,CC,0.15903864,1.5903864
Salter,20230921,4,2,"CC, NS, CM",0.1,ft,in,Q2,QUGA,238,29,5.9,15.3,NA,D3,NA,NA,NA,NA,NA,,20231011,CC,0.18985374,1.8985374
Salter,20230921,4,2,"CC, NS, CM",0.1,ft,in,Q3,QUGA,247,24,5.8,14.7,5.3,L,NA,NA,NA,NA,0,,20231011,CC,0.18347256,1.8347256
Salter,20230921,4,2,"CC, NS, CM",0.1,ft,in,Q4,QUGA,253,33,6,11.6,NA,D2,2,NA,NA,NA,NA,,20231011,CC,0.196344,1.96344
Salter,20230921,4,2,"CC, NS, CM",0.1,ft,in,Q5,QUGA,259,29.5,6.3,22.6,NA,D2,2.8,NA,NA,NA,NA,,20231011,CC,0.21646926,2.1646926
Salter,20230921,4,2,"CC, NS, CM",0.1,ft,in,Q6,QUGA,264,33,6.7,19.8,6.2,L,1,NA,NA,NA,0,,20231011,CC,0.24483006,2.4483006
Salter,20230921,4,2,"CC, NS, CM",0.1,ft,in,P6,PIPO,268,24,15.4,69.2,33,L,10.2,NA,G,M,0,cored @ DBH,20231011,CC,1.29347064,12.9347064
Salter,20230921,4,2,"CC, NS, CM",0.1,ft,in,P7,PIPO,274,31.5,7.6,30.9,17.5,L,8.1,NA,G,N,0,,20231011,CC,0.31502304,3.1502304
Salter,20230921,4,2,"CC, NS, CM",0.1,ft,in,P8,PIPO,309,26.5,19.5,80.7,27.7,L,3.5,NA,G,D,0,,20231011,CC,2.0738835,20.738835
Salter,20230921,4,2,"CC, NS, CM",0.1,ft,in,P9,PIPO,325,35.5,11.7,58.9,26.6,L,2.9,NA,G,N,0,,20231011,CC,0.74659806,7.4659806
Salter,20230920,5,7,"CC, NS, CM",0.1,ft,in,945,PIPO,68,16.5,25.6,66.1,16.2,L,11.2,NA,G,D,0,,20231010,CC,3.57433344,35.7433344
Salter,20230920,5,7,"CC, NS, CM",0.1,ft,in,P2,PIPO,69,31.5,12.3,55,27.8,L,6.2,NA,G,S,0,,20231010,CC,0.82513566,8.2513566
Salter,20230920,5,7,"CC, NS, CM",0.1,ft,in,P3,PIPO,116,31,13.6,54.7,20.2,L,5.1,NA,G,S,0,,20231010,CC,1.00877184,10.0877184
Salter,20230920,5,7,"CC, NS, CM",0.1,ft,in,P4,PIPO,125,32,11.8,63.9,14.2,L,5,NA,G,D,1,,20231010,CC,0.75941496,7.5941496
Salter,20230920,5,7,"CC, NS, CM",0.1,ft,in,P5,PIPO,145,16.5,20.7,71.4,18.8,L,5.9,NA,G,D,0,,20231010,CC,2.33698446,23.3698446
Salter,20230920,5,7,"CC, NS, CM",0.1,ft,in,Q1,QUGA,259,33,4,14.4,NA,D1,1,NA,NA,NA,1,,20231010,CC,0.087264,0.87264
Salter,20230920,5,7,"CC, NS, CM",0.1,ft,in,P6,PIPO,320,23.5,23.4,72.7,16.8,L,4.9,NA,G,D,0,,20231010,CC,2.98639224,29.8639224
Salter,20230920,6,7,"CC, NS, CM",0.1,ft,in,P1,PIPO,13,23,21.1,78.6,15.5,L,NA,NA,G,D,0,,20231010,CC,2.42817534,24.2817534
Salter,20230920,6,7,"CC, NS, CM",0.1,ft,in,949,PIPO,73,28,8.6,39.7,9.3,L,3.5,NA,G,S,0,,20231010,CC,0.40337784,4.0337784
Salter,20230920,6,7,"CC, NS, CM",0.1,ft,in,P3,PIPO,80,35.5,21.8,79.5,29.5,L,2.5,NA,G,D,0,cored @ DBH,20231010,CC,2.59195896,25.9195896
Salter,20230920,6,7,"CC, NS, CM",0.1,ft,in,P4,PIPO,127,29.5,18.6,77.7,27.3,L,3.5,NA,G,D,0,cored @ DBH,20231010,CC,1.88686584,18.8686584
Salter,20230920,6,7,"CC, NS, CM",0.1,ft,in,P5,PIPO,171,26.5,18.3,81.4,19.1,L,9.3,NA,G,D,1,,20231010,CC,1.82649006,18.2649006
Salter,20230920,6,7,"CC, NS, CM",0.1,ft,in,P6,PIPO,278,36,6.6,27.5,8.8,L,NA,NA,G,N,1,,20231010,CC,0.23757624,2.3757624
Salter,20230920,6,7,"CC, NS, CM",0.1,ft,in,P7,PIPO,353,34,10.6,54.8,13.3,L,2.5,NA,G,S,1,,20231010,CC,0.61281144,6.1281144
Salter,20230920,7,7,"CC, NS, CM",0.1,ft,in,P1,PIPO,51,37,23,90.8,24.7,L,2.5,NA,G,D,0,,20231010,CC,2.885166,28.85166
Salter,20230920,7,7,"CC, NS, CM",0.1,ft,in,P2,PIPO,126,20.5,24.6,78.9,25.7,L,2.6,NA,G,D,0,,20231010,CC,3.30054264,33.0054264
Salter,20230920,7,7,"CC, NS, CM",0.1,ft,in,948,PIPO,142,37,14.1,66.9,20.9,L,6,NA,G,M,1,,20231010,CC,1.08430974,10.8430974
Salter,20230920,7,7,"CC, NS, CM",0.1,ft,in,P4,PIPO,233,17,6.2,32.1,16.7,L,9,NA,G,N,1,,20231010,CC,0.20965176,2.0965176
Salter,20230920,7,7,"CC, NS, CM",0.1,ft,in,P5,PIPO,245,23,26.9,94.5,36.5,L,15.4,NA,G,D,1,,20231010,CC,3.94656894,39.4656894
Salter,20230920,7,7,"CC, NS, CM",0.1,ft,in,P6,PIPO,341,31,14.2,73.3,27.3,L,10.1,NA,G,D,1,,20231010,CC,1.09974456,10.9974456
Salter,20230920,8,7,"CC, NS, CM",0.1,ft,in,952,PIPO,104,34,16.3,69,35,L,12,NA,G,D,0,cored @ DBH,20231010,CC,1.44907326,14.4907326
Salter,20230920,8,7,"CC, NS, CM",0.1,ft,in,P2,PIPO,144,13.5,22.8,81.5,45.5,L,16,NA,G,D,0,,20231010,CC,2.83520736,28.3520736
Salter,20230920,8,7,"CC, NS, CM",0.1,ft,in,P3,PIPO,150,17.5,18.3,68.9,41,L,15,NA,G,M,0,,20231010,CC,1.82649006,18.2649006
Salter,20230920,8,7,"CC, NS, CM",0.1,ft,in,P4,PIPO,203,36,14.8,66.5,22,L,7.6,NA,G,D,0,cored @ DBH,20231010,CC,1.19464416,11.9464416
Salter,20230920,8,7,"CC, NS, CM",0.1,ft,in,P5,PIPO,254,29,23.5,76.7,33.6,L,10.1,NA,G,M,0,cored @ DBH,20231010,CC,3.0119715,30.119715
Salter,20230920,8,7,"CC, NS, CM",0.1,ft,in,J1,JUCO,285,8.5,4.2,19.8,NA,D1,4,NA,G,NA,0,,20231010,CC,0.09620856,0.9620856
Salter,20230920,8,7,"CC, NS, CM",0.1,ft,in,J2,JUCO,293,13.5,5,18.9,NA,D1,6,NA,G,NA,0,,20231010,CC,0.13635,1.3635
Salter,20230920,8,7,"CC, NS, CM",0.1,ft,in,J3,JUCO,305,32,5.9,16.3,NA,D1,14.6,NA,G,NA,0,,20231010,CC,0.18985374,1.8985374
Salter,20230920,8,7,"CC, NS, CM",0.1,ft,in,J4,JUCO,306,32,5.9,16.9,NA,D1,10.2,NA,G,NA,0,,20231010,CC,0.18985374,1.8985374
Salter,20230920,9,6,"CC, NS, CM",0.1,ft,in,946,PIPO,11,28,24.3,88.6,23.1,L,1,NA,G,D,0,cored @ DBH,20231010,CC,3.22053246,32.2053246
Salter,20230920,9,6,"CC, NS, CM",0.1,ft,in,P2,PIPO,129,29,23.5,90.5,44.6,L,9.3,NA,G,M,0,,20231010,CC,3.0119715,30.119715
Salter,20230920,9,6,"CC, NS, CM",0.1,ft,in,P3,PIPO,145,31,14,56.6,22.8,L,8.4,NA,G,M,0,cored @ DBH,20231010,CC,1.068984,10.68984
Salter,20230920,9,6,"CC, NS, CM",0.1,ft,in,P4,PIPO,207,27.5,8.8,43.6,16.4,L,5.8,NA,G,S,0,,20231010,CC,0.42235776,4.2235776
Salter,20230920,9,6,"CC, NS, CM",0.1,ft,in,P5,PIPO,207,12.5,21.4,75.9,34.5,L,6,NA,G,D,0,,20231010,CC,2.49771384,24.9771384
Salter,20230920,9,6,"CC, NS, CM",0.1,ft,in,P6,PIPO,289,32.5,23.7,76.6,25.1,L,7.2,NA,G,D,0,,20231010,CC,3.06345726,30.6345726
Salter,20230920,10,6,"CC, NS, CM",0.1,ft,in,947,PIPO,28,17.5,27.3,93,32.3,L,5,NA,G,D,0,cored @ DBH,20231010,CC,4.06481166,40.6481166
Salter,20230920,10,6,"CC, NS, CM",0.1,ft,in,P2,PIPO,85,14,4.9,26.8,9.3,L,5,NA,G,N,0,,20231010,CC,0.13095054,1.3095054
Salter,20230920,10,6,"CC, NS, CM",0.1,ft,in,P3,PIPO,100,22,10.1,65.8,28.1,L,6.1,NA,G,S,0,,20231010,CC,0.55636254,5.5636254
Salter,20230920,10,6,"CC, NS, CM",0.1,ft,in,P4,PIPO,166,19.5,21.2,73.4,23.6,L,12,NA,G,D,0,,20231010,CC,2.45124576,24.5124576
Salter,20230920,10,6,"CC, NS, CM",0.1,ft,in,P5,PIPO,219,8,16.9,79.5,24.2,L,14.1,NA,G,D,0,cored @ DBH,20231010,CC,1.55771694,15.5771694
Salter,20230918,11,6,"CC, NS, CM",0.1,ft,in,P1,PIPO,21,11.5,20.2,80.2,17.3,L,5.7,NA,G,D,0,,20231010,CC,2.22545016,22.2545016
Salter,20230918,11,6,"CC, NS, CM",0.1,ft,in,P2,PIPO,60,34.5,9.8,58,32,L,3.4,NA,G,N,0,,20231010,CC,0.52380216,5.2380216
Salter,20230918,11,6,"CC, NS, CM",0.1,ft,in,940,PIPO,82,34.5,8.5,60.1,33.7,L,2.6,NA,G,S,0,,20231010,CC,0.3940515,3.940515
Salter,20230918,11,6,"CC, NS, CM",0.1,ft,in,P4,PIPO,89,31.5,12.4,65,19.8,L,3.6,NA,G,N,0,,20231010,CC,0.83860704,8.3860704
Salter,20230918,11,6,"CC, NS, CM",0.1,ft,in,P5,PIPO,94,31.5,4.4,29.1,13.7,L,1.5,NA,G,N,0,,20231010,CC,0.10558944,1.0558944
Salter,20230918,11,6,"CC, NS, CM",0.1,ft,in,P6,PIPO,94,27.5,4.7,28.4,13.7,L,1.5,NA,G,N,0,,20231010,CC,0.12047886,1.2047886
Salter,20230918,11,6,"CC, NS, CM",0.1,ft,in,P7,PIPO,108,27.5,6.6,32.3,17.4,L,2.8,NA,G,N,0,,20231010,CC,0.23757624,2.3757624
Salter,20230918,11,6,"CC, NS, CM",0.1,ft,in,P8,PIPO,122,22,15.8,67.9,43.7,L,2.5,NA,G,D,0,,20231010,CC,1.36153656,13.6153656
Salter,20230918,11,6,"CC, NS, CM",0.1,ft,in,P9,PIPO,208,11,14,82.2,41.6,L,3.2,NA,G,D,1,,20231010,CC,1.068984,10.68984
Salter,20230918,11,6,"CC, NS, CM",0.1,ft,in,P10,PIPO,266,11,8,44.9,23.4,L,3.9,NA,G,N,1,,20231010,CC,0.349056,3.49056
Salter,20230918,11,6,"CC, NS, CM",0.1,ft,in,P11,PIPO,270,18.5,8.7,57.2,20,L,1.9,NA,G,N,1,,20231010,CC,0.41281326,4.1281326
Salter,20230918,11,6,"CC, NS, CM",0.1,ft,in,P12,PIPO,291,5,5.9,30.9,12.9,L,2.6,NA,G,N,0,Dead top,20231010,CC,0.18985374,1.8985374
Salter,20230918,11,6,"CC, NS, CM",0.1,ft,in,P13,PIPO,312,15,5.1,16.8,7.1,L,0.9,NA,G,N,1,,20231010,CC,0.14185854,1.4185854
Salter,20230919,12,6,"CC, NS, CM",0.1,ft,in,P1,PIPO,47,17,4.5,25.6,7.6,L,2.5,NA,G,S,1,,20231010,CC,0.1104435,1.104435
Salter,20230919,12,6,"CC, NS, CM",0.1,ft,in,P2,PIPO,70,31,15.5,45.8,22.9,L,5.7,NA,G,S,0,cored @ DBH,20231010,CC,1.3103235,13.103235
Salter,20230919,12,6,"CC, NS, CM",0.1,ft,in,944,PIPO,111,34.5,10.8,56.7,23.5,L,NA,NA,G,N,0,,20231010,CC,0.63615456,6.3615456
Salter,20230919,12,6,"CC, NS, CM",0.1,ft,in,P4,PIPO,181,11.5,19.1,87.1,36.2,L,10.5,NA,G,D,0,cored @ DBH,20231010,CC,1.98967374,19.8967374
Salter,20230919,12,6,"CC, NS, CM",0.1,ft,in,P5,PIPO,268,13.5,26,84.7,26,L,15.3,NA,G,M,0,cored @ DBH,20231010,CC,3.686904,36.86904
Salter,20230919,12,6,"CC, NS, CM",0.1,ft,in,P6,PIPO,347,31.5,6.1,22.3,9.8,L,NA,NA,G,S,0,,20231010,CC,0.20294334,2.0294334
Salter,20230921,13,1,"CC, NS, CM",0.1,ft,in,P1,PIPO,83,17.5,16.8,59.2,19.7,L,6,NA,G,M,1,cored @ DBH,20231010,CC,1.53933696,15.3933696
Salter,20230921,13,1,"CC, NS, CM",0.1,ft,in,131,PIPO,173,32,18.4,57.1,20.7,L,3,NA,G,M,0,,20231010,CC,1.84650624,18.4650624
Salter,20230921,13,1,"CC, NS, CM",0.1,ft,in,P3,PIPO,197,15,16.6,55.9,21,L,0.5,NA,G,S,0,,20231010,CC,1.50290424,15.0290424
Salter,20230921,13,1,"CC, NS, CM",0.1,ft,in,P4,PIPO,225,35,24.3,71,10.1,L,1.7,NA,G,M,0,cored @ DBH,20231010,CC,3.22053246,32.2053246
Salter,20230921,13,1,"CC, NS, CM",0.1,ft,in,P5,PIPO,250,30,17.9,63.6,26.2,L,4.6,NA,G,D,0,,20231010,CC,1.74751614,17.4751614
Salter,20230921,13,1,"CC, NS, CM",0.1,ft,in,P6,PIPO,341,8,23.1,55.2,16.9,L,1,NA,G,D,0,,20231010,CC,2.91030894,29.1030894
Salter,20231003,14,1,"CC, NS, CP",0.1,ft,in,P1,PIPO,44,33,23.5,79.4,27.5,L,NA,NA,G,D,0,cored @ DBH,20231003,NS,3.0119715,30.119715
Salter,20231003,14,1,"CC, NS, CP",0.1,ft,in,884,PIPO,162,14.5,23.3,65.3,20.2,L,1,NA,G,M,0,,20231003,NS,2.96092206,29.6092206
Salter,20231003,14,1,"CC, NS, CP",0.1,ft,in,P3,PIPO,163,31,20,63.4,26.3,L,2,NA,G,M,0,,20231003,NS,2.1816,21.816
Salter,20231003,14,1,"CC, NS, CP",0.1,ft,in,P4,PIPO,295,34.5,21,60.2,17.5,L,6,NA,G,D,0,,20231003,NS,2.405214,24.05214
Salter,20231003,15,1,"CC, NS, CP",0.1,ft,in,P1,PIPO,105,19,17.4,57.3,33.2,L,6.9,NA,G,M,1,,20231003,NS,1.65125304,16.5125304
Salter,20231003,15,1,"CC, NS, CP",0.1,ft,in,895,PIPO,120,31,18.9,64.5,24.4,L,7.3,NA,G,D,0,,20231003,NS,1.94822334,19.4822334
Salter,20231003,15,1,"CC, NS, CP",0.1,ft,in,P3,PIPO,191,15,20.4,65,22.2,L,9,NA,G,D,0,,20231003,NS,2.26973664,22.6973664
